probe_id	symbol	gene_id
ILMN_1657058		285755
ILMN_1657064		55780
ILMN_1657074		4584
ILMN_1657077		9306
ILMN_1657087		151126
ILMN_1657095		10948
ILMN_1657111		113146
ILMN_1657125		2543
ILMN_1657128		10076
ILMN_1657129		8935
ILMN_1657139		23536
ILMN_1657141		158521
ILMN_1657144		200205
ILMN_1657145		4222
ILMN_1657148		148046
ILMN_1657149		254778
ILMN_1657153		10096
ILMN_1657158		165918
ILMN_1657191		386680
ILMN_1657194		55815
ILMN_1657199		23114
ILMN_1657204		10055
ILMN_1657234		6364
ILMN_1657235		342979
ILMN_1657237		10101
ILMN_1657248		2069
ILMN_1657254		6444
ILMN_1657266		645323
ILMN_1657273		100129345
ILMN_1657278		1855
ILMN_1657279		50809
ILMN_1657283		54890
ILMN_1657288		375513
ILMN_1657295		57094
ILMN_1657302		6817
ILMN_1657312		150472
ILMN_1657316		3547
ILMN_1657317		5439
ILMN_1657332		11007
ILMN_1657340		84775
ILMN_1657344		5324
ILMN_1657347		50512
ILMN_1657349		285220
ILMN_1657358		344807
ILMN_1657361		23492
ILMN_1657373		55214
ILMN_1657378		440446
ILMN_1657381		166824
ILMN_1657395		3156
ILMN_1657399		222546
ILMN_1657405		121665
ILMN_1657406		10762
ILMN_1657421		7531
ILMN_1657423		51324
ILMN_1657429		57228
ILMN_1657435		4499
ILMN_1657436		26127
ILMN_1657440		3747
ILMN_1657442		104
ILMN_1657446		84284
ILMN_1657451		6733
ILMN_1657455		1089
ILMN_1657470		253943
ILMN_1657475		2592
ILMN_1657476		100130988
ILMN_1657478		54551
ILMN_1657483		10483
ILMN_1657486		338755
ILMN_1657495		9761
ILMN_1657497		9856
ILMN_1657505		55806
ILMN_1657509		283989
ILMN_1657515		9252
ILMN_1657527		387837
ILMN_1657529		1555
ILMN_1657547		91057
ILMN_1657550		4597
ILMN_1657554		64061
ILMN_1657571		439
ILMN_1657572		2902
ILMN_1657591		6328
ILMN_1657600		23397
ILMN_1657606		79776
ILMN_1657607		3084
ILMN_1657611		344558
ILMN_1657612		6128
ILMN_1657618		9589
ILMN_1657619		79982
ILMN_1657624		55968
ILMN_1657627		863
ILMN_1657631		55620
ILMN_1657632		100506144
ILMN_1657634		2177
ILMN_1657639		80267
ILMN_1657643		30819
ILMN_1657656		27158
ILMN_1657662		112479
ILMN_1657665		84146
ILMN_1657673		90120
ILMN_1657679		10451
ILMN_1657680		26112
ILMN_1657682		85476
ILMN_1657683		84886
ILMN_1657697		56681
ILMN_1657701		10432
ILMN_1657708		11343
ILMN_1657709		53840
ILMN_1657722		6189
ILMN_1657729		9534
ILMN_1657744		57184
ILMN_1657746		670
ILMN_1657749		339761
ILMN_1657750		26507
ILMN_1657754		79871
ILMN_1657760		51760
ILMN_1657766		23650
ILMN_1657769		1983
ILMN_1657771		200186
ILMN_1657790		9295
ILMN_1657796		3925
ILMN_1657797		9158
ILMN_1657803		3075
ILMN_1657810		132160
ILMN_1657816		58160
ILMN_1657818		9657
ILMN_1657823		56937
ILMN_1657832		222699
ILMN_1657836		64857
ILMN_1657837		84524
ILMN_1657838		79831
ILMN_1657847		256979
ILMN_1657854		4286
ILMN_1657855		51412
ILMN_1657857		51522
ILMN_1657860		440574
ILMN_1657862		191
ILMN_1657864		79089
ILMN_1657868		23409
ILMN_1657870		27
ILMN_1657871		91543
ILMN_1657873		64328
ILMN_1657884		4831
ILMN_1657888		6299
ILMN_1657891		8658
ILMN_1657892		51311
ILMN_1657893		10587
ILMN_1657898		51537
ILMN_1657914		58160
ILMN_1657932		4588
ILMN_1657949		6009
ILMN_1657950		6231
ILMN_1657955		91010
ILMN_1657958		440594
ILMN_1657962		81851
ILMN_1657968		5605
ILMN_1657972		84439
ILMN_1657977		22921
ILMN_1657983		54386
ILMN_1657991		391722
ILMN_1657993		23394
ILMN_1658010		2491
ILMN_1658015		10150
ILMN_1658016		128611
ILMN_1658017		6693
ILMN_1658027		8438
ILMN_1658040		1381
ILMN_1658044		1910
ILMN_1658053		83658
ILMN_1658067		220988
ILMN_1658071		481
ILMN_1658072		3476
ILMN_1658074		389874
ILMN_1658080		126231
ILMN_1658081		143162
ILMN_1658083		29777
ILMN_1658093		400960
ILMN_1658094		22891
ILMN_1658104		89890
ILMN_1658109		221442
ILMN_1658110		125228
ILMN_1658111		162137
ILMN_1658114		25900
ILMN_1658121		5199
ILMN_1658143		5983
ILMN_1658144		9321
